image_id,class,path,split
erosion_0724.png,erosion,images\erosion\erosion_0724.png,train
inflammation_0561.png,inflammation,images\inflammation\inflammation_0561.png,train
foreign_body_0674.png,foreign_body,images\foreign_body\foreign_body_0674.png,train
tumor_0400.png,tumor,images\tumor\tumor_0400.png,train
foreign_body_0133.png,foreign_body,images\foreign_body\foreign_body_0133.png,train
normal_0747.png,normal,images\normal\normal_0747.png,train
bleeding_0486.png,bleeding,images\bleeding\bleeding_0486.png,train
stricture_0279.png,stricture,images\stricture\stricture_0279.png,train
polyp_0276.png,polyp,images\polyp\polyp_0276.png,train
polyp_0666.png,polyp,images\polyp\polyp_0666.png,train
ulcer_0346.png,ulcer,images\ulcer\ulcer_0346.png,train
stricture_0255.png,stricture,images\stricture\stricture_0255.png,train
foreign_body_0140.png,foreign_body,images\foreign_body\foreign_body_0140.png,train
polyp_0572.png,polyp,images\polyp\polyp_0572.png,train
diverticula_0480.png,diverticula,images\diverticula\diverticula_0480.png,train
polyp_0457.png,polyp,images\polyp\polyp_0457.png,train
diverticula_0766.png,diverticula,images\diverticula\diverticula_0766.png,train
inflammation_0351.png,inflammation,images\inflammation\inflammation_0351.png,train
stricture_0470.png,stricture,images\stricture\stricture_0470.png,train
normal_0649.png,normal,images\normal\normal_0649.png,train
polyp_0241.png,polyp,images\polyp\polyp_0241.png,train
polyp_0022.png,polyp,images\polyp\polyp_0022.png,train
stricture_0328.png,stricture,images\stricture\stricture_0328.png,train
stricture_0566.png,stricture,images\stricture\stricture_0566.png,train
polyp_0708.png,polyp,images\polyp\polyp_0708.png,train
inflammation_0345.png,inflammation,images\inflammation\inflammation_0345.png,train
polyp_0574.png,polyp,images\polyp\polyp_0574.png,train
inflammation_0209.png,inflammation,images\inflammation\inflammation_0209.png,train
inflammation_0756.png,inflammation,images\inflammation\inflammation_0756.png,train
normal_0062.png,normal,images\normal\normal_0062.png,train
bleeding_0558.png,bleeding,images\bleeding\bleeding_0558.png,train
erosion_0096.png,erosion,images\erosion\erosion_0096.png,train
ulcer_0534.png,ulcer,images\ulcer\ulcer_0534.png,train
inflammation_0417.png,inflammation,images\inflammation\inflammation_0417.png,train
diverticula_0719.png,diverticula,images\diverticula\diverticula_0719.png,train
stricture_0788.png,stricture,images\stricture\stricture_0788.png,train
foreign_body_0298.png,foreign_body,images\foreign_body\foreign_body_0298.png,train
stricture_0217.png,stricture,images\stricture\stricture_0217.png,train
normal_0367.png,normal,images\normal\normal_0367.png,train
erosion_0608.png,erosion,images\erosion\erosion_0608.png,train
normal_0528.png,normal,images\normal\normal_0528.png,train
diverticula_0640.png,diverticula,images\diverticula\diverticula_0640.png,train
tumor_0136.png,tumor,images\tumor\tumor_0136.png,train
bleeding_0079.png,bleeding,images\bleeding\bleeding_0079.png,train
tumor_0510.png,tumor,images\tumor\tumor_0510.png,train
inflammation_0160.png,inflammation,images\inflammation\inflammation_0160.png,train
ulcer_0105.png,ulcer,images\ulcer\ulcer_0105.png,train
foreign_body_0631.png,foreign_body,images\foreign_body\foreign_body_0631.png,train
erosion_0698.png,erosion,images\erosion\erosion_0698.png,train
tumor_0074.png,tumor,images\tumor\tumor_0074.png,train
ulcer_0249.png,ulcer,images\ulcer\ulcer_0249.png,train
ulcer_0360.png,ulcer,images\ulcer\ulcer_0360.png,train
ulcer_0297.png,ulcer,images\ulcer\ulcer_0297.png,train
inflammation_0311.png,inflammation,images\inflammation\inflammation_0311.png,train
bleeding_0148.png,bleeding,images\bleeding\bleeding_0148.png,train
foreign_body_0458.png,foreign_body,images\foreign_body\foreign_body_0458.png,train
